Angestellte;EG 13 brutto;EG 13 netto;EG 11 brutto;EG 11 netto
TV-L Ost; 4.350,58   ; 2.666,17   ; 3.990,46   ; 2.483,75
TV-L West; 4.350,58   ; 2.660,00   ; 3.990,46   ; 2.480,56
TV-H; 4.494,36   ; 2.730,55   ; 4.095,05   ; 2.533,06
TVöD (VKA); 4.368,14   ; 2.668,68   ; 3.834,30   ; 2.401,54   
