Angestellte;EG 13 brutto;EG 13 netto;EG 11 brutto;EG 11 netto
TV-L Ost; 6.271,18   ; 3.664,40   ; 5.824,08   ; 3.429,43   
TV-L West; 6.271,18   ; 3.668,41   ; 5.824,08   ; 3.446,06   
TV-H; 6.245,05   ; 3.655,60   ; 5.797,67   ; 3.432,58   
TVöD (VKA); 6.352,28   ; 3.707,89   ; 5.783,68   ; 3.425,25 
